rank,lat_cell,lon_cell,records,active_days,priority_score_0_100,police_station,junction,peak_hour_IST,peak_hour_count,peak_hour_share,top_weekday,avg_violation_severity_1_5,avg_vehicle_obstruction_1_5,top_violations,top_vehicle_types,sample_location
147,12.982,77.599,406,70,33.74,Shivajinagar,BTP042 - Minsk Square Junction (CTO),05:00-05:59,71,0.1749,Saturday,2.13,1.49,WRONG PARKING (288); NO PARKING (118); PARKING ON FOOTPATH (43),SCOOTER (232); CAR (74); MOTOR CYCLE (66),"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
148,12.987,77.58,154,50,33.73,High ground,BTP054 - Shivananda Circle,07:00-07:59,56,0.3636,Sunday,2.1,2.93,NO PARKING (132); WRONG PARKING (23); PARKING IN A MAIN ROAD (5),CAR (137); SCOOTER (4); LGV (3),"Kumar Krupa Road, Dr Hardikar Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)"
149,12.98,77.61,398,47,33.7,Shivajinagar,BTP051 - Safina Plaza Junction,10:00-10:59,89,0.2236,Sunday,2.09,2.86,NO PARKING (230); WRONG PARKING (168); PARKING IN A MAIN ROAD (10),CAR (266); PASSENGER AUTO (76); MAXI-CAB (43),"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
150,12.977,77.574,216,73,33.69,Upparpet,BTP045 - Danvanthri Road Junction,09:00-09:59,30,0.1389,Friday,2.2,2.09,WRONG PARKING (185); NO PARKING (31); PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (12),PASSENGER AUTO (80); SCOOTER (53); CAR (31),"Major T Ramachandrappa Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
151,13.191,77.646,595,93,33.65,Chikkajala,No Junction,01:00-01:59,92,0.1546,Monday,3.0,2.95,NO PARKING (510); PARKING IN A MAIN ROAD (194); WRONG PARKING (90),CAR (438); MAXI-CAB (112); SCOOTER (12),"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)"
152,13.0,77.571,593,112,33.58,Malleshwaram,No Junction,10:00-10:59,164,0.2766,Sunday,2.03,2.5,WRONG PARKING (310); NO PARKING (283); PARKING IN A MAIN ROAD (4),CAR (298); PASSENGER AUTO (164); SCOOTER (84),"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
153,12.952,77.541,354,59,33.58,Byatarayanapura,BTP096 - Gali Anjaneya Temple,12:00-12:59,46,0.1299,Sunday,2.53,1.98,NO PARKING (208); WRONG PARKING (146); PARKING IN A MAIN ROAD (58),SCOOTER (116); CAR (91); PASSENGER AUTO (61),"Mysore Road, BR Pura, Bengaluru, Karnataka. Pin-560026 (India)"
154,13.011,77.555,806,110,33.44,Malleshwaram,No Junction,09:00-09:59,176,0.2184,Sunday,2.02,2.01,WRONG PARKING (499); NO PARKING (318); DEFECTIVE NUMBER PLATE (16),PASSENGER AUTO (240); SCOOTER (218); CAR (144),"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
155,12.927,77.586,157,48,33.35,Jayanagara,"BTP226 - 33rd Cross, 11th Main, Jayanagar",09:00-09:59,38,0.242,Sunday,2.69,2.58,NO PARKING (145); WRONG PARKING (49); PARKING IN A MAIN ROAD (35),CAR (119); SCOOTER (23); MOTOR CYCLE (6),"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
156,12.993,77.554,298,31,33.29,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",01:00-01:59,139,0.4664,Thursday,2.0,3.05,WRONG PARKING (281); NO PARKING (17),CAR (203); MAXI-CAB (45); LGV (28),"P&T Road, BSNL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
157,12.999,77.571,528,121,33.28,Malleshwaram,No Junction,10:00-10:59,110,0.2083,Sunday,2.05,2.31,WRONG PARKING (309); NO PARKING (221); PARKING IN A MAIN ROAD (7),CAR (249); SCOOTER (113); PASSENGER AUTO (111),"Sri Venkataranga Ayangar Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
158,12.917,77.574,129,60,33.26,Jayanagara,"BTP115 - Sahasra Hospital, Jayanagar",03:00-03:59,37,0.2868,Wednesday,2.04,2.6,NO PARKING (93); WRONG PARKING (36); DEFECTIVE NUMBER PLATE (3),SCOOTER (41); BUS (BMTC/KSRTC) (38); PASSENGER AUTO (31),"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)"
159,12.964,77.556,107,27,33.25,Magadi Road,BTP091 - Sirsi Circle,02:00-02:59,44,0.4112,Sunday,3.04,2.78,NO PARKING (88); PARKING IN A MAIN ROAD (37); PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC (25),CAR (42); PASSENGER AUTO (20); GOODS AUTO (19),"JJR Main Road, Obleshwar Colony, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)"
160,12.972,77.577,213,73,33.21,City Market,BTP044 - Sagar Theatre Junction,11:00-11:59,47,0.2207,Friday,2.0,1.76,WRONG PARKING (181); NO PARKING (32); DEFECTIVE NUMBER PLATE (3),SCOOTER (94); MOTOR CYCLE (38); LGV (30),"AS Char Main Road, Balepete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)"
161,12.975,77.577,221,71,33.15,Upparpet,BTP040 - Elite Junction,09:00-09:59,33,0.1493,Sunday,2.02,2.16,WRONG PARKING (149); NO PARKING (72); DEFECTIVE NUMBER PLATE (2),SCOOTER (70); PASSENGER AUTO (53); CAR (49),"Kempegowda Road, Alankar Pearl Plaza, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
162,12.992,77.553,154,40,33.15,Rajajinagar,"BTP204 - ESI Hospital, Rajajinagar",03:00-03:59,65,0.4221,Wednesday,2.0,3.17,WRONG PARKING (154),MAXI-CAB (57); CAR (41); TEMPO (16),"17th Main Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
163,13.003,77.55,276,55,33.11,Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",07:00-07:59,68,0.2464,Tuesday,2.0,2.54,WRONG PARKING (229); NO PARKING (47); DEFECTIVE NUMBER PLATE (1),CAR (188); SCOOTER (41); MOTOR CYCLE (18),"19th Main Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
164,12.954,77.544,354,67,33.08,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road",01:00-01:59,80,0.226,Wednesday,2.1,1.35,WRONG PARKING (333); NO PARKING (21); DEFECTIVE NUMBER PLATE (18),SCOOTER (209); MOTOR CYCLE (74); CAR (32),"Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)"
165,12.98,77.573,116,58,33.08,Upparpet,BTP057 - Anand Rao Junction,02:00-02:59,20,0.1724,Sunday,2.05,3.25,WRONG PARKING (98); NO PARKING (18); DEFECTIVE NUMBER PLATE (5),CAR (57); PASSENGER AUTO (19); PRIVATE BUS (16),"Seshadri Road, Ayurvedic Hospital Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
166,12.958,77.586,196,69,33.05,Wilson Garden,BTP192 - Urvashi Theater,07:00-07:59,41,0.2092,Thursday,2.06,1.98,NO PARKING (190); WRONG PARKING (6); PARKING IN A MAIN ROAD (3),CAR (59); SCOOTER (54); MOTOR CYCLE (38),"Lalbagh Main Road, SGN Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)"
167,12.952,77.7,310,64,32.99,HAL Old Airport,No Junction,02:00-02:59,70,0.2258,Saturday,4.14,3.62,WRONG PARKING (247); PARKING IN A MAIN ROAD (216); NO PARKING (96),PRIVATE BUS (79); CAR (78); BUS (BMTC/KSRTC) (62),"Outer Ring Road, Eldorado Apartment, Marathahalli Village, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)"
168,12.968,77.536,214,63,32.98,Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",12:00-12:59,43,0.2009,Sunday,2.19,2.13,NO PARKING (166); WRONG PARKING (48); PARKING IN A MAIN ROAD (7),CAR (104); SCOOTER (58); MOTOR CYCLE (32),"21st Main Road, Ganga Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
169,12.972,77.598,214,65,32.9,Cubbon Park,BTP063 - Siddalingaiah Circle,11:00-11:59,40,0.1869,Friday,2.04,2.24,NO PARKING (210); WRONG PARKING (4); PARKING IN A MAIN ROAD (3),CAR (122); SCOOTER (52); MOTOR CYCLE (25),"Walton Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
170,12.966,77.578,273,68,32.9,City Market,BTP082 - KR Market Junction,01:00-01:59,62,0.2271,Tuesday,2.01,1.65,WRONG PARKING (246); NO PARKING (27); DEFECTIVE NUMBER PLATE (4),SCOOTER (156); CAR (28); MOTOR CYCLE (23),"Avenue Road, Ragipet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)"
171,13.01,77.55,176,62,32.68,Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,06:00-06:59,27,0.1534,Saturday,2.02,2.68,WRONG PARKING (135); NO PARKING (41); DEFECTIVE NUMBER PLATE (1),CAR (111); MAXI-CAB (19); PASSENGER AUTO (15),"Da Ra Bendre Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
172,12.937,77.602,104,49,32.66,Mico Layout,BTP126 - Dairy Circle,07:00-07:59,23,0.2212,Sunday,3.21,1.71,WRONG PARKING (79); PARKING IN A MAIN ROAD (42); NO PARKING (25),SCOOTER (46); MOTOR CYCLE (21); MAXI-CAB (14),"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)"
173,12.999,77.551,229,53,32.65,Malleshwaram,"BTP182 - 19th Main Junction, Rajajinagar",06:00-06:59,56,0.2445,Friday,2.0,2.64,WRONG PARKING (166); NO PARKING (63); DEFECTIVE NUMBER PLATE (1),CAR (170); SCOOTER (24); PASSENGER AUTO (19),"19th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
174,12.936,77.615,255,66,32.59,Adugodi,BTP135 - UCO Bank Junction,12:00-12:59,29,0.1137,Sunday,2.27,1.88,NO PARKING (196); WRONG PARKING (64); PARKING IN A MAIN ROAD (21),SCOOTER (103); CAR (77); MOTOR CYCLE (32),"20th Main Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)"
175,12.96,77.644,130,56,32.57,Jeevanbheemanagar,"BTP148 - 17th Main, Doopanahalli Bus Stop",04:00-04:59,19,0.1462,Thursday,2.56,2.43,NO PARKING (124); PARKING IN A MAIN ROAD (24); WRONG PARKING (16),PASSENGER AUTO (49); MAXI-CAB (34); CAR (18),"Old Airport Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)"
176,12.973,77.538,207,63,32.56,Vijayanagara,BTP028 - Vijayanagar Bus Stand Junction,10:00-10:59,51,0.2464,Thursday,2.08,1.87,WRONG PARKING (142); NO PARKING (65); PARKING IN A MAIN ROAD (4),SCOOTER (94); CAR (72); MOTOR CYCLE (20),"17th Cross Road, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
177,12.929,77.582,136,57,32.56,Jayanagara,BTP220 - Puttanna Junction,07:00-07:59,30,0.2206,Saturday,2.05,2.74,NO PARKING (113); WRONG PARKING (23); DEFECTIVE NUMBER PLATE (4),CAR (115); SCOOTER (11); MOTOR CYCLE (4),"Diagonal Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
178,13.186,77.68,516,94,32.47,Chikkajala,No Junction,05:00-05:59,70,0.1357,Friday,2.8,3.0,NO PARKING (323); WRONG PARKING (195); PARKING IN A MAIN ROAD (137),CAR (384); MAXI-CAB (119); LGV (4),"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
179,12.999,77.542,149,55,32.4,Vijayanagara,"BTP206 - Shankara Mutt Circle, Vijayanagar",05:00-05:59,33,0.2215,Thursday,2.14,2.6,WRONG PARKING (107); NO PARKING (42); PARKING IN A MAIN ROAD (7),CAR (108); SCOOTER (21); PASSENGER AUTO (8),"Padmabhushan Dr MC Modi Road, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)"
180,12.996,77.584,121,43,32.37,Sheshadripuram,BTP032 - Windsor Circle,10:00-10:59,37,0.3058,Wednesday,2.22,2.95,NO PARKING (84); WRONG PARKING (40); PARKING IN A MAIN ROAD (5),CAR (115); SCOOTER (2); PASSENGER AUTO (1),"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)"
181,12.917,77.573,230,68,32.35,Banashankari,"BTP115 - Sahasra Hospital, Jayanagar",11:00-11:59,51,0.2217,Tuesday,2.07,1.49,NO PARKING (202); WRONG PARKING (33); DEFECTIVE NUMBER PLATE (15),SCOOTER (109); PASSENGER AUTO (57); MOTOR CYCLE (52),"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)"
182,12.973,77.577,224,69,32.35,City Market,BTP044 - Sagar Theatre Junction,07:00-07:59,50,0.2232,Sunday,2.01,1.52,NO PARKING (128); WRONG PARKING (102); DEFECTIVE NUMBER PLATE (4),SCOOTER (123); MOTOR CYCLE (41); PASSENGER AUTO (30),"Hospital Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
183,13.0,77.678,391,70,32.35,Mahadevapura,No Junction,01:00-01:59,136,0.3478,Saturday,3.58,2.81,NO PARKING (226); PARKING IN A MAIN ROAD (201); WRONG PARKING (169),CAR (204); PASSENGER AUTO (92); MAXI-CAB (54),"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)"
184,12.971,77.597,168,55,32.28,Cubbon Park,BTP063 - Siddalingaiah Circle,11:00-11:59,25,0.1488,Saturday,2.18,2.77,NO PARKING (160); PARKING IN A MAIN ROAD (10); WRONG PARKING (8),CAR (114); MAXI-CAB (19); PASSENGER AUTO (17),"Grant Road, UB City, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
185,12.985,77.556,118,57,32.28,Rajajinagar,BTP061 - Bhashyam Circle,03:00-03:59,27,0.2288,Saturday,2.03,2.66,WRONG PARKING (86); NO PARKING (32); DEFECTIVE NUMBER PLATE (1),CAR (85); SCOOTER (12); PASSENGER AUTO (6),"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
186,12.976,77.583,149,55,32.2,Upparpet,BTP038 - Mysore Bank Junction,07:00-07:59,31,0.2081,Thursday,2.01,2.77,WRONG PARKING (113); NO PARKING (36); DEFECTIVE NUMBER PLATE (2),CAR (78); PASSENGER AUTO (26); MAXI-CAB (17),"Palace Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
187,13.011,77.55,213,55,32.15,Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,06:00-06:59,40,0.1878,Saturday,2.0,2.6,WRONG PARKING (181); NO PARKING (33); DEFECTIVE NUMBER PLATE (4),CAR (104); MAXI-CAB (42); TANKER (23),"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India"
188,12.926,77.586,116,30,32.02,Jayanagara,"BTP226 - 33rd Cross, 11th Main, Jayanagar",04:00-04:59,32,0.2759,Sunday,3.62,1.72,NO PARKING (84); WRONG PARKING (73); PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS (38),SCOOTER (54); CAR (36); MOTOR CYCLE (19),"11th Main Road, Block 4, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
189,12.968,77.579,225,65,31.99,City Market,BTP082 - KR Market Junction,10:00-10:59,52,0.2311,Tuesday,2.17,1.32,WRONG PARKING (202); NO PARKING (25); DOUBLE PARKING (11),SCOOTER (122); MOPED (38); MOTOR CYCLE (33),"Avenue Road, Avenue Circle, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)"
190,12.993,77.589,444,53,31.96,High ground,BTP032 - Windsor Circle,03:00-03:59,108,0.2432,Wednesday,2.03,1.39,WRONG PARKING (304); NO PARKING (140); DEFECTIVE NUMBER PLATE (18),SCOOTER (309); CAR (50); PASSENGER AUTO (42),"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
191,12.98,77.603,212,61,31.89,Shivajinagar,BTP211 - Central Street Junction,07:00-07:59,32,0.1509,Monday,2.23,1.91,WRONG PARKING (192); NO PARKING (20); PARKING IN A MAIN ROAD (15),SCOOTER (98); CAR (72); PASSENGER AUTO (15),"Central Street, Shivaji Nagar Intersection Junction, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
192,12.997,77.549,222,64,31.86,Vijayanagara,BTP027 - Modi Bridge Junction,08:00-08:59,37,0.1667,Thursday,2.32,1.43,NO PARKING (121); WRONG PARKING (101); PARKING IN A MAIN ROAD (24),SCOOTER (130); MOTOR CYCLE (39); CAR (36),"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
193,12.98,77.577,174,57,31.83,Upparpet,BTP058 - Subbanna Junction,11:00-11:59,27,0.1552,Monday,2.03,2.58,NO PARKING (94); WRONG PARKING (80); DEFECTIVE NUMBER PLATE (8),CAR (112); SCOOTER (22); PASSENGER AUTO (19),"5th Main Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
194,12.944,77.573,183,51,31.79,Basavanagudi,BTP108 - Tagore Park Junction,04:00-04:59,35,0.1913,Sunday,2.02,2.77,NO PARKING (169); WRONG PARKING (14); DEFECTIVE NUMBER PLATE (3),CAR (151); SCOOTER (14); PASSENGER AUTO (12),"Rathana Vilas Road, Babasahebara Palya, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
195,12.965,77.538,237,59,31.78,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",02:00-02:59,41,0.173,Saturday,2.11,1.95,WRONG PARKING (214); NO PARKING (23); PARKING IN A MAIN ROAD (9),CAR (101); SCOOTER (90); MOTOR CYCLE (31),"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
196,12.966,77.536,130,40,31.68,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",10:00-10:59,46,0.3538,Sunday,2.05,2.8,WRONG PARKING (123); NO PARKING (7); PARKING IN A MAIN ROAD (2),CAR (101); MAXI-CAB (10); SCOOTER (10),"Sri Sankasta Hara Ganapati Temple Road, Remco Housing Cooperative Society, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, "
197,13.007,77.571,687,109,31.64,Malleshwaram,No Junction,09:00-09:59,86,0.1252,Sunday,2.0,2.15,WRONG PARKING (448); NO PARKING (243); DEFECTIVE NUMBER PLATE (8),CAR (360); SCOOTER (177); MOTOR CYCLE (102),"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)"
198,12.928,77.581,416,53,31.64,Jayanagara,"BTP189 - New Diagonal Road, Jayanagar",09:00-09:59,80,0.1923,Wednesday,2.01,1.64,NO PARKING (407); WRONG PARKING (9); DEFECTIVE NUMBER PLATE (8),SCOOTER (221); CAR (126); MOTOR CYCLE (52),"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
199,12.989,77.55,115,39,31.52,Vijayanagara,"BTP170 - Dr. Bheem Rao Palace, Chord Road",10:00-10:59,31,0.2696,Friday,2.61,2.43,WRONG PARKING (87); NO PARKING (28); PARKING IN A MAIN ROAD (22),CAR (40); SCOOTER (24); LGV (19),"Sri B Gangaiah Road, Birangi Palya, Shiva Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
200,13.185,77.68,484,90,31.51,Chikkajala,No Junction,05:00-05:59,68,0.1405,Sunday,2.73,2.99,NO PARKING (316); WRONG PARKING (171); PARKING IN A MAIN ROAD (116),CAR (332); MAXI-CAB (149); HGV (1),"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
201,12.962,77.599,609,41,31.51,Ashok Nagar,BTP172 - Nanjappa Circle,04:00-04:59,185,0.3038,Wednesday,2.0,1.06,NO PARKING (593); WRONG PARKING (16); DEFECTIVE NUMBER PLATE (8),SCOOTER (324); MOTOR CYCLE (263); CAR (14),"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)"
202,12.998,77.548,143,63,31.49,Vijayanagara,BTP205 - Modi Hospital Junction,10:00-10:59,20,0.1399,Thursday,2.1,2.09,WRONG PARKING (82); NO PARKING (61); PARKING IN A MAIN ROAD (4),CAR (72); SCOOTER (43); MOTOR CYCLE (21),"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
203,12.985,77.554,244,57,31.45,Rajajinagar,BTP061 - Bhashyam Circle,09:00-09:59,57,0.2336,Wednesday,2.0,1.76,WRONG PARKING (125); NO PARKING (119); DEFECTIVE NUMBER PLATE (7),SCOOTER (111); CAR (69); MOTOR CYCLE (35),"12th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
204,12.946,77.571,154,56,31.31,Basavanagudi,BTP215 - Vanivillas Junction,10:00-10:59,40,0.2597,Sunday,2.12,1.81,NO PARKING (83); WRONG PARKING (71); PARKING IN A MAIN ROAD (6),SCOOTER (70); CAR (40); PASSENGER AUTO (20),"Gandhi Bazar Road, Gandhi Bazar, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)"
205,12.994,77.589,646,39,31.28,High ground,BTP032 - Windsor Circle,03:00-03:59,173,0.2678,Wednesday,2.0,1.12,NO PARKING (441); WRONG PARKING (207); DEFECTIVE NUMBER PLATE (21),SCOOTER (481); MOTOR CYCLE (124); CAR (33),"Palace Road, Kumar Park, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
206,12.973,77.58,199,60,31.27,Upparpet,BTP038 - Mysore Bank Junction,09:00-09:59,33,0.1658,Sunday,2.03,1.94,NO PARKING (136); WRONG PARKING (66); DEFECTIVE NUMBER PLATE (5),SCOOTER (67); CAR (58); PASSENGER AUTO (28),"Kempegowda Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
207,12.976,77.56,265,64,31.21,Magadi Road,BTP074 - Leprosy Hospital Junction,04:00-04:59,43,0.1623,Friday,2.05,1.38,WRONG PARKING (183); NO PARKING (82); DEFECTIVE NUMBER PLATE (4),SCOOTER (152); MOTOR CYCLE (42); PASSENGER AUTO (25),"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
208,12.976,77.562,179,61,31.14,Magadi Road,BTP074 - Leprosy Hospital Junction,10:00-10:59,23,0.1285,Thursday,2.25,1.74,WRONG PARKING (131); NO PARKING (48); PARKING IN A MAIN ROAD (13),SCOOTER (80); PASSENGER AUTO (36); MOTOR CYCLE (18),"G Narayana Kumar Road, Annapurneshwari Industrial Area, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)"
209,12.965,77.578,173,59,31.13,City Market,BTP082 - KR Market Junction,01:00-01:59,39,0.2254,Tuesday,2.03,1.74,WRONG PARKING (149); NO PARKING (24); DEFECTIVE NUMBER PLATE (4),SCOOTER (91); PASSENGER AUTO (28); CAR (17),"Godown Street, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
210,13.008,77.556,245,49,31.05,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",09:00-09:59,43,0.1755,Sunday,2.0,2.38,WRONG PARKING (176); NO PARKING (69); DEFECTIVE NUMBER PLATE (3),CAR (143); SCOOTER (47); PASSENGER AUTO (24),"GP Rajarathnam Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
211,12.976,77.58,123,53,31.03,Upparpet,BTP044 - Sagar Theatre Junction,08:00-08:59,17,0.1382,Thursday,2.11,2.61,WRONG PARKING (94); NO PARKING (29); PARKING ON FOOTPATH (8),CAR (54); SCOOTER (19); PASSENGER AUTO (11),"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
212,12.975,77.571,118,50,30.98,Chamarajpet,BTP048 - Shanthala Junction,01:00-01:59,17,0.1441,Saturday,2.36,2.41,WRONG PARKING (99); NO PARKING (40); PARKING IN A MAIN ROAD (11),PASSENGER AUTO (45); CAR (35); SCOOTER (22),"Rao Bahadur DGT Road, Cottonpet Circle, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)"
213,12.992,77.589,363,57,30.96,High ground,BTP032 - Windsor Circle,04:00-04:59,70,0.1928,Tuesday,2.07,1.13,WRONG PARKING (342); NO PARKING (22); PARKING IN A MAIN ROAD (9),SCOOTER (265); MOTOR CYCLE (70); CAR (14),"Palace Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
214,12.994,77.555,136,37,30.89,Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",06:00-06:59,43,0.3162,Friday,2.13,2.64,WRONG PARKING (102); NO PARKING (35); DOUBLE PARKING (5),CAR (53); PASSENGER AUTO (27); MAXI-CAB (18),"12th Main Road, Police Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
215,12.96,77.578,197,41,30.86,City Market,BTP104 - Medical College Circle,11:00-11:59,47,0.2386,Wednesday,2.26,2.31,WRONG PARKING (192); NO PARKING (17); PARKING IN A MAIN ROAD (16),SCOOTER (60); PASSENGER AUTO (28); LGV (27),"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)"
216,12.986,77.556,128,51,30.82,Rajajinagar,"BTP210 - 50th cross, 12th Main , Rajajinagar",11:00-11:59,27,0.2109,Thursday,2.0,2.42,WRONG PARKING (65); NO PARKING (63),CAR (64); SCOOTER (24); PASSENGER AUTO (14),"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (Ind"
217,12.928,77.586,131,48,30.78,Jayanagara,BTP225 - Geetha Junction,08:00-08:59,41,0.313,Sunday,2.27,1.67,NO PARKING (118); WRONG PARKING (21); PARKING IN A MAIN ROAD (11),SCOOTER (69); CAR (41); MOTOR CYCLE (17),"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)"
